,global_id,hours
0,13780620.0,2.0
1,5971728.0,2.0
2,2959718.0,2.0
3,749836672.0,2.0
4,13381320.0,2.0
5,881477038.0,2.0
6,2950379.0,2.0
7,2958269.0,2.0
8,13414711.0,2.0
9,7710717.0,2.0
10,13380947.0,2.0
11,2956288.0,2.0
12,2956199.0,2.0
13,2957360.0,2.0
14,13381292.0,2.0
15,13380899.0,2.0
16,2957853.0,2.0
17,2958849.0,2.0
18,7711958.0,2.0
19,13414562.0,2.0
20,7653174.0,2.0
21,2956077.0,2.0
22,13380408.0,2.0
23,2958731.0,2.0
24,13380189.0,2.0
25,2958021.0,2.0
26,2955817.0,2.0
27,861517431.0,2.0
28,861517440.0,2.0
29,2956696.0,2.0
30,2956852.0,2.0
31,2960924.0,2.0
32,2957221.0,2.0
33,2955538.0,2.0
34,2956027.0,2.0
35,2953173.0,2.0
36,2958957.0,2.0
37,2951124.0,2.0
38,2960454.0,2.0
39,2953032.0,2.0
40,2949981.0,2.0
41,2949752.0,2.0
42,2960229.0,2.0
43,2960626.0,2.0
44,2953207.0,2.0
45,2960647.0,2.0
46,2950977.0,2.0
47,2952054.0,2.0
48,2952617.0,2.0
49,2952943.0,2.0
50,2960619.0,2.0
51,2950031.0,2.0
52,2954995.0,2.0
53,2950327.0,2.0
54,2953965.0,2.0
55,2954214.0,2.0
56,2954236.0,2.0
57,2954602.0,2.0
58,2954887.0,2.0
59,2960612.0,2.0
60,2954201.0,2.0
61,2951565.0,2.0
62,2955462.0,2.0
63,2951476.0,2.0
64,2950348.0,2.0
65,2951700.0,2.0
66,2951306.0,2.0
67,2951886.0,2.0
68,832646158.0,2.0
69,848389987.0,2.0
70,848389986.0,2.0
71,2951276.0,2.0
72,7787938.0,2.0
73,848389985.0,2.0
74,7800455.0,2.0
75,848389984.0,2.0
76,2959227.0,2.0
77,2953080.0,2.0
78,2952779.0,2.0
79,7650116.0,2.0
80,7672113.0,2.0
81,7737996.0,2.0
82,13380357.0,2.0
83,13380777.0,2.0
84,13386624.0,2.0
85,13381261.0,2.0
86,13412759.0,2.0
87,13414546.0,2.0
88,13414636.0,2.0
89,13414912.0,2.0
90,13381105.0,2.0
91,7636892.0,2.0
92,2960612.0,2.0
93,2960667.0,2.0
94,2960395.0,2.0
95,2960076.0,2.0
96,2960061.0,2.0
97,37329190.0,2.0
98,169197513.0,2.0
99,2959493.0,2.0
100,832646138.0,2.0
101,861517431.0,2.0
102,2959975.0,2.0
103,2959526.0,2.0
104,2959136.0,2.0
105,7622482.0,2.0
106,2954236.0,2.0
107,2952720.0,2.0
108,2957438.0,2.0
109,2957250.0,2.0
110,2957433.0,2.0
111,2954136.0,2.0
112,2953953.0,2.0
113,2953923.0,2.0
114,2953333.0,2.0
115,2952617.0,2.0
116,2952226.0,2.0
117,2954519.0,2.0
118,2952199.0,2.0
119,2951550.0,2.0
120,2951236.0,2.0
121,2951164.0,2.0
122,2951151.0,2.0
123,2951117.0,2.0
124,2950499.0,2.0
125,2949960.0,2.0
126,2951700.0,2.0
127,2954542.0,2.0
128,2954667.0,2.0
129,2958774.0,2.0
130,2958569.0,2.0
131,2958530.0,2.0
132,2958444.0,2.0
133,2958123.0,2.0
134,2954201.0,2.0
135,2957195.0,2.0
136,2956199.0,2.0
137,2956183.0,2.0
138,2956104.0,2.0
139,2956027.0,2.0
140,2955922.0,2.0
141,2956996.0,2.0
142,2955423.0,2.0
143,2955120.0,2.0
144,2954848.0,2.0
145,2957029.0,2.0
146,2954608.0,2.0
147,2957183.0,2.0
148,13409931.0,2.0
149,13414636.0,2.0
150,13414508.0,2.0
151,2956463.0,2.0
152,2956418.0,2.0
153,2956016.0,2.0
154,2955117.0,2.0
155,2954704.0,2.0
156,2954642.0,2.0
157,2954579.0,2.0
158,2954201.0,2.0
159,2953968.0,2.0
160,2960741.0,2.0
161,2953547.0,2.0
162,2953363.0,2.0
163,2953209.0,2.0
164,2953020.0,2.0
165,2952840.0,2.0
166,2952720.0,2.0
167,2957043.0,2.0
168,2957109.0,2.0
169,2957294.0,2.0
170,2957365.0,2.0
171,5972890.0,2.0
172,2960973.0,2.0
173,2954136.0,2.0
174,2960304.0,2.0
175,2960190.0,2.0
176,2957450.0,2.0
177,2957813.0,2.0
178,2957968.0,2.0
179,2957970.0,2.0
180,2959962.0,2.0
181,2958123.0,2.0
182,2958774.0,2.0
183,2959178.0,2.0
184,2959277.0,2.0
185,2951700.0,2.0
186,2960123.0,2.0
187,2959213.0,2.0
188,2958004.0,2.0
189,2960289.0,2.0
190,2953698.0,2.0
191,2952450.0,2.0
192,2949900.0,2.0
193,2950522.0,2.0
194,2950625.0,2.0
195,2950924.0,2.0
196,2952226.0,2.0
197,2951660.0,2.0
198,2950759.0,2.0
199,2960059.0,2.0
200,2959683.0,2.0
201,7683116.0,2.0
202,7686049.0,2.0
203,7690417.0,2.0
204,7752691.0,2.0
205,13381198.0,2.0
206,13380469.0,2.0
207,169197513.0,2.0
208,272397899.0,2.0
209,2954519.0,2.0
210,13414972.0,2.0
211,7818298.0,2.0
212,2954636.0,2.0
213,2950334.0,2.0
214,2949898.0,2.0
215,2954122.0,2.0
216,2953923.0,2.0
217,2953826.0,2.0
218,2952739.0,2.0
219,2952381.0,2.0
220,2954812.0,2.0
221,2952366.0,2.0
222,2951147.0,2.0
223,2950883.0,2.0
224,2950870.0,2.0
225,2950225.0,2.0
226,2949785.0,2.0
227,2954388.0,2.0
228,5972322.0,2.0
229,2956836.0,2.0
230,2951603.0,2.0
231,2950065.0,2.0
232,2957930.0,2.0
233,2957444.0,2.0
234,2954853.0,2.0
235,2957516.0,2.0
236,2957918.0,2.0
237,2959119.0,2.0
238,2958526.0,2.0
239,2959446.0,2.0
240,2959911.0,2.0
241,2955129.0,2.0
242,2956381.0,2.0
